,loss,mean_io_u,val_loss,val_mean_io_u
0,0.04545384645462036,0.5607423186302185,0.041403878480196,0.7270822525024414
1,0.03011111170053482,0.6273432970046997,0.03241337463259697,0.6486401557922363
2,0.02555854246020317,0.7032551765441895,0.026752637699246407,0.6508098840713501
3,0.023006848990917206,0.7462435960769653,0.02392851561307907,0.7444740533828735
4,0.020802434533834457,0.7748057842254639,0.02296558767557144,0.817955493927002
5,0.018110087141394615,0.8122785091400146,0.023647746071219444,0.8520183563232422
6,0.01663823053240776,0.8345601558685303,0.020894745364785194,0.8376631736755371
7,0.015145552344620228,0.8595566153526306,0.02121647261083126,0.8955670595169067
8,0.013397134840488434,0.8825123310089111,0.020387941971421242,0.8791460990905762
9,0.012333587743341923,0.8966013193130493,0.02017064020037651,0.9331754446029663
10,0.011680414900183678,0.90421462059021,0.019881440326571465,0.8863186240196228
11,0.010666103102266788,0.9172476530075073,0.022171176970005035,0.9277388453483582
12,0.010262585245072842,0.9192641377449036,0.021410368382930756,0.9406229257583618
13,0.010134409181773663,0.9206701517105103,0.019377712160348892,0.9005967378616333
14,0.008792378008365631,0.9325209856033325,0.021424438804388046,0.9372754096984863
15,0.008890362456440926,0.9313951730728149,0.02551092766225338,0.9232580661773682
16,0.00875652302056551,0.9328103065490723,0.01846928335726261,0.9282773733139038
17,0.007680821232497692,0.943445086479187,0.019295884296298027,0.9215825796127319
18,0.007965205237269402,0.9389356374740601,0.019453126937150955,0.9302686452865601
19,0.007447357755154371,0.9436277151107788,0.01728088967502117,0.8931652307510376
